Country name,Regional indicator,Ladder score,lLadder score ,upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster,Region_Central and Eastern Europe,Region_East Asia,Region_Middle East and North Africa,Region_North America and ANZ,Region_Southeast Asia,Region_Western Europe
Israel,Middle East and North Africa,7.341,0.865755224,7.405,7.277,1.803,1.513,0.179838928,0.74,-0.13076828,0.641,0.215108581,0.153,-0.815308569,0.193,0.076640444,2.298,2,0,0,1,0,0,0
Netherlands,Western Europe,7.319,0.864451747,7.383,7.256,1.901,1.462,0.164947373,0.706,-0.151195299,0.725,0.236789099,0.247,-0.607303047,0.372,0.137354111,1.906,2,0,0,0,0,0,1
Norway,Western Europe,7.302,0.863441829,7.389,7.215,1.952,1.517,0.180985581,0.704,-0.152427341,0.835,0.263636069,0.224,-0.649751982,0.484,0.171433901,1.586,2,0,0,0,0,0,1
Luxembourg,Western Europe,7.122,0.852601969,7.213,7.031,2.141,1.355,0.131939295,0.708,-0.149966742,0.801,0.255513713,0.146,-0.835647144,0.432,0.155943018,1.54,2,0,0,0,0,0,1
Switzerland,Western Europe,7.06,0.848804701,7.147,6.973,1.97,1.425,0.153814864,0.747,-0.126679398,0.759,0.245265839,0.173,-0.761953897,0.498,0.175511813,1.488,2,0,0,0,0,0,1
Australia,North America and ANZ,7.057,0.848620117,7.141,6.973,1.854,1.461,0.164650216,0.692,-0.159893906,0.756,0.244524512,0.225,-0.647817482,0.323,0.121559844,1.745,2,0,0,0,1,0,0
New Zealand,North America and ANZ,7.029,0.846893543,7.105,6.954,1.81,1.527,0.183839037,0.673,-0.171984936,0.746,0.242044239,0.226,-0.645891561,0.48,0.170261715,1.567,2,0,0,0,1,0,0
Kuwait,Middle East and North Africa,6.951,0.842047289,7.06,6.843,1.845,1.364,0.13481437,0.661,-0.179798541,0.827,0.261738547,0.2,-0.698970004,0.172,0.068927612,1.884,2,0,0,1,0,0,0
Austria,Western Europe,6.905,0.839163683,6.986,6.824,1.885,1.336,0.125806458,0.696,-0.15739076,0.703,0.231214648,0.214,-0.669586227,0.305,0.115610512,1.766,2,0,0,0,0,0,1
Canada,North America and ANZ,6.9,0.838849091,6.984,6.815,1.84,1.459,0.164055292,0.701,-0.154281982,0.73,0.238046103,0.23,-0.638272164,0.368,0.136086097,1.572,2,0,0,0,1,0,0
Belgium,Western Europe,6.894,0.838471279,6.961,6.827,1.868,1.44,0.158362492,0.69,-0.161150909,0.729,0.237794993,0.17,-0.769551079,0.311,0.117602692,1.686,2,0,0,0,0,0,1
Ireland,Western Europe,6.838,0.834929096,6.927,6.749,2.129,1.39,0.1430148,0.7,-0.15490196,0.758,0.245018871,0.205,-0.688246139,0.418,0.151676231,1.239,2,0,0,0,0,0,1
United Kingdom,Western Europe,6.749,0.829239428,6.833,6.665,1.822,1.326,0.122543524,0.672,-0.172630727,0.713,0.233757363,0.267,-0.573488739,0.351,0.130655349,1.598,2,0,0,0,0,0,1
United Arab Emirates,Middle East and North Africa,6.733,0.828208614,6.823,6.643,1.983,1.164,0.06595298,0.563,-0.249491605,0.815,0.258876629,0.209,-0.679853714,0.258,0.099680641,1.741,2,0,0,1,0,0,0
Germany,Western Europe,6.719,0.827304641,6.815,6.622,1.871,1.39,0.1430148,0.702,-0.153662888,0.7,0.230448921,0.174,-0.759450752,0.368,0.136086097,1.513,2,0,0,0,0,0,1
France,Western Europe,6.609,0.820135752,6.685,6.533,1.818,1.348,0.129689892,0.727,-0.138465589,0.65,0.217483944,0.112,-0.950781977,0.281,0.10754913,1.672,2,0,0,0,0,0,1
Singapore,Southeast Asia,6.523,0.814447379,6.605,6.44,2.118,1.361,0.133858125,0.769,-0.11407366,0.743,0.241297387,0.168,-0.774690718,0.575,0.197280558,0.788,2,0,0,0,0,1,0
Estonia,Central and Eastern Europe,6.448,0.809425029,6.524,6.371,1.752,1.527,0.183839037,0.657,-0.18243463,0.805,0.256477206,0.166,-0.779891912,0.401,0.146438135,1.138,2,1,0,0,0,0,0
Hong Kong S.A.R. of China,East Asia,5.316,0.725584972,5.403,5.229,1.909,1.184,0.073351702,0.857,-0.067019178,0.485,0.171726454,0.147,-0.832682665,0.402,0.146748014,0.333,2,0,1,0,0,0,0
